% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3109 +4.212179063e+03 +4.212179063e+03 +3.665679063e+03 +3.665679063e+03 +2.1018e+00 +1.5169e+00 +1.5847e+00 +1.2166e+00 +9.1600e-01 -1.9464e+00 +4.3087e-01 +2.4305e+00 -7.0096e-01 +3.5359e-01 +1.3983e+00 +2.3461e+00 -1.0528e-01 -3.6821e+00 +2.9726e+00 -7.9250e-01 +2.7159e+00 -1.4309e+00 -1.2125e+00 +6.6504e-01
3281 +3.182851830e+03 +3.182851830e+03 +2.636351830e+03 +2.636351830e+03 +1.9063e+00 +9.8674e-01 +1.1038e-01 +2.2619e-02 -1.1618e+00 -2.7544e+00 -3.3774e-01 +2.0355e+00 -3.2163e-01 -4.3534e-01 +1.4013e+00 +2.7757e+00 -5.7948e-01 -3.7246e+00 +2.7303e+00 -1.2748e+00 +1.4228e+00 -2.1858e+00 -1.0091e+00 +1.7322e+00
3333 +2.892471740e+03 +2.892471740e+03 +2.345971740e+03 +2.345971740e+03 +1.4228e+00 +1.1116e+00 +1.3344e+00 +1.8170e+00 +1.7481e+00 -3.3022e+00 +2.3494e+00 +1.8331e+00 -1.4182e+00 +1.7714e+00 +2.4463e+00 +2.4758e+00 -2.4223e-01 -3.7438e+00 +5.7541e-01 -1.8684e+00 +1.4301e+00 -5.3029e-01 -1.5763e+00 +9.9649e-01
3504 +2.329103393e+03 +2.329103393e+03 +1.782603393e+03 +1.782603393e+03 +1.3318e+00 -3.4850e-01 +1.0789e+00 -4.7048e-01 -2.2249e-01 -1.8981e+00 +1.1040e+00 +1.4997e+00 -7.8955e-01 +6.1712e-01 +1.4200e+00 +1.4826e+00 -1.0604e-01 -3.5946e+00 +2.6367e+00 -1.3672e+00 +1.3843e+00 -1.5657e+00 -7.9686e-01 +1.1930e+00
3536 +2.189941423e+03 +2.189941423e+03 +1.643441423e+03 +1.643441423e+03 -3.7039e+00 +6.6767e-01 +2.0068e+00 -6.9675e-01 +2.5427e-01 -2.5157e+00 +9.7457e-01 +1.8063e+00 -7.0287e-01 +2.8356e+00 +1.4754e+00 +1.2567e+00 -3.5540e-02 -3.4219e+00 +2.3760e+00 -1.8203e+00 +2.0220e+00 -1.5168e+00 -3.5061e-01 +1.5817e+00
3557 +1.896110231e+03 +1.896110231e+03 +1.349610231e+03 +1.349610231e+03 +1.4259e+00 +2.8328e-01 -4.6135e-01 -2.7508e+00 -1.3697e-01 -2.2976e+00 +8.2803e-01 -1.7735e-01 -1.1333e+00 +2.0380e+00 +8.8905e-01 +1.6979e+00 -2.6750e-01 -3.5649e+00 +2.5351e+00 -1.5598e+00 +2.4706e+00 -1.2943e+00 -1.3529e+00 +2.4067e+00
3592 +1.543873618e+03 +1.543873618e+03 +9.973736183e+02 +9.973736183e+02 -6.0321e-01 +8.8104e-01 +6.6993e-01 -1.4824e-02 -9.2618e-02 -3.0402e+00 +3.9154e-01 +8.5317e-01 -1.8948e+00 +1.8586e+00 +3.8015e-01 +2.3966e+00 +4.6013e-02 -3.6501e+00 +2.0339e+00 -8.0113e-02 +1.8965e+00 -1.4750e+00 -1.1494e+00 +1.8469e+00
3620 +8.918296957e+02 +8.918296957e+02 +3.453296957e+02 +3.453296957e+02 +1.2102e+00 +1.1487e-01 +2.2353e+00 -1.6897e+00 -4.9532e-01 -2.3951e+00 +1.0595e+00 +2.1712e+00 -1.5482e+00 +9.4114e-01 +1.3534e+00 +1.5578e+00 +3.5121e-02 -3.3748e+00 +1.6607e+00 -8.8911e-01 +1.9577e+00 -2.5669e+00 -1.7946e+00 +1.8226e+00
3688 +1.829050087e+02 +1.829050087e+02 -3.635949913e+02 -3.635949913e+02 +2.7026e+00 +1.1710e+00 -6.7390e-01 -1.3905e-01 +4.4884e-01 -2.3253e+00 +2.3434e-01 +1.6787e+00 +6.0190e-01 +9.2714e-01 +2.1492e+00 +2.2870e+00 -1.7095e-01 -2.9754e+00 +2.3034e+00 -3.0027e-01 +1.6849e+00 -1.7257e+00 -1.2758e+00 +1.9014e+00
4399 +2.956837317e+01 +2.956837317e+01 -5.169316268e+02 -5.169316268e+02 -5.4414e-01 +5.5163e-01 +5.2117e-01 -1.3415e+00 +1.2810e+00 -2.5434e+00 +1.3603e+00 +1.4331e+00 -1.3049e+00 +9.6545e-01 +9.6363e-01 +2.3433e+00 -2.1961e-01 -2.9095e+00 +1.8000e+00 -1.0950e+00 +1.6212e+00 -1.4916e+00 -1.5832e+00 +2.2484e+00
4425 +1.250186107e+01 +1.250186107e+01 -5.339981389e+02 -5.339981389e+02 -6.6569e-01 +1.1886e+00 +4.4227e-01 +5.9753e-01 -3.3947e-01 -2.1400e+00 +8.5157e-01 -2.6698e-01 -1.1461e+00 +2.7453e-01 +1.3020e+00 +1.5800e+00 +3.4350e-02 -2.7579e+00 +7.5365e-01 -1.7371e+00 +1.6190e+00 -2.1984e+00 -2.1088e+00 +2.1219e+00
5743 +4.340204036e+00 +4.340204036e+00 -5.421597960e+02 -5.421597960e+02 +9.9759e-02 +2.7738e+00 -3.1395e-01 -1.4550e+00 +1.9520e+00 -1.7474e+00 -1.2531e+00 +2.2669e+00 -1.3971e+00 +9.6833e-01 +6.7404e-01 +1.6511e+00 +1.9203e-01 -2.7441e+00 +1.4630e+00 -1.0127e+00 +1.2970e+00 -1.5674e+00 -1.1187e+00 +1.7791e+00
6340 +4.127881274e+00 +4.127881274e+00 -5.423721187e+02 -5.423721187e+02 +1.5370e+00 +2.0575e+00 -7.1701e-01 -2.9877e-01 +1.2888e-01 -7.2119e-01 -1.2416e+00 +7.4159e-02 -2.6941e+00 +1.7202e+00 -4.9709e-02 +1.1477e+00 +7.8562e-01 -2.0529e+00 +1.9940e+00 -2.0603e+00 +1.3533e+00 -1.3328e+00 -1.6574e+00 +1.9529e+00
7180 +3.942417301e+00 +3.942417301e+00 -5.425575827e+02 -5.425575827e+02 -1.4928e-01 +2.3705e+00 +1.5669e+00 -1.7045e+00 +5.5303e-01 -9.6591e-01 -1.1330e+00 +1.3723e+00 -1.7441e+00 +1.6529e+00 +1.8842e+00 +2.1865e+00 +1.2531e+00 -2.3481e+00 +1.5958e+00 -1.5833e+00 +1.4370e+00 -1.2702e+00 -1.6678e+00 +1.8189e+00
7211 +3.490797219e+00 +3.490797219e+00 -5.430092028e+02 -5.430092028e+02 +1.6285e+00 +1.1604e+00 +1.0698e+00 -7.2524e-01 -1.1578e+00 -1.1919e+00 -5.3631e-01 +7.3945e-01 -1.8039e+00 +1.4336e+00 +1.6221e+00 +1.6852e+00 +1.2177e+00 -1.5418e+00 +1.7541e+00 -2.2609e+00 +1.5330e+00 -1.2615e+00 -1.6657e+00 +1.2857e+00
9691 +3.270565994e+00 +3.270565994e+00 -5.432294340e+02 -5.432294340e+02 -1.1977e+00 +2.4245e+00 +1.2412e+00 -1.4138e+00 -2.0606e-01 -2.1502e+00 -1.3518e+00 +5.4599e-02 -1.0957e+00 +2.8793e-01 +1.4294e+00 +2.3432e+00 +1.5279e+00 -2.2917e+00 +3.4713e-01 -2.5434e+00 +1.3082e+00 -1.7573e+00 -1.3574e+00 +1.0696e+00
547791 +3.147060138e+00 +3.147060138e+00 -5.433529399e+02 -5.433529399e+02 -1.5137e+00 +2.2984e+00 -4.4275e-01 -1.6758e+00 +6.0900e-02 -7.8105e-02 -1.9173e-02 +2.1461e-01 -1.9273e+00 +1.3300e+00 +4.3668e-01 +1.9910e+00 +1.1746e+00 -1.8081e+00 +2.1732e+00 -1.3831e+00 +1.5090e+00 -1.3873e+00 -1.3572e+00 +1.7729e+00
627388 +3.087823736e+00 +3.087823736e+00 -5.434121763e+02 -5.434121763e+02 +1.3052e+00 -4.3259e-01 +1.2292e+00 -5.9105e-02 +2.3351e+00 +6.4132e-01 -1.3900e+00 +1.2571e+00 -2.3450e+00 -5.0903e-01 +7.3661e-01 +2.5233e+00 +1.1426e+00 -1.1812e+00 +1.5354e+00 -9.0645e-01 +2.3878e+00 -2.0129e+00 -1.8240e+00 +1.1762e+00
629566 +2.996093912e+00 +2.996093912e+00 -5.435039061e+02 -5.435039061e+02 +5.0378e-01 -4.5494e-01 +5.4342e-01 -4.4009e-01 +8.4259e-01 -1.2394e+00 -1.5796e+00 -7.7118e-01 -2.9441e+00 -2.5974e-01 +2.6169e+00 +2.0008e+00 +1.5070e+00 -5.7790e-01 +1.0392e+00 -9.9344e-01 +2.4779e+00 -1.5782e+00 -1.1049e+00 +1.5492e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.931961742e+04 +1.931961742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2259 +1.508024007e+04 +1.508024007e+04 +1.608024007e+04 +1.608024007e+04 -7.5713e-01 +4.4246e+00 +4.8020e+00 +1.2128e+00 +4.5397e-01 +4.8446e+00 -1.2249e+00 -1.6852e+00 -3.1680e+00 +1.8337e+00 -1.8684e+00 -1.1477e+00 -2.2089e+00 -2.5965e+00 -6.6482e-01 +3.4404e-01 -3.2871e+00 +7.9601e-01 -3.1441e+00 +1.0022e+00
2334 +1.354182735e+04 +1.354182735e+04 +1.454182735e+04 +1.454182735e+04 -2.3274e+00 +1.4931e+00 +4.5453e+00 +1.3724e+00 +4.1123e-01 +4.4753e+00 -3.7101e-01 +1.5066e-01 -3.0160e+00 +7.9365e-02 +1.1845e+00 -6.8489e-01 -3.4671e+00 -9.4068e-01 -3.6701e-01 +6.3005e-02 -3.4999e+00 +4.3991e-01 -2.0274e+00 +1.6107e+00
2380 +1.333719848e+04 +1.333719848e+04 +1.433719848e+04 +1.433719848e+04 +7.2676e-01 +3.8192e+00 +4.5068e+00 +1.4326e+00 +4.7190e-01 +4.5474e+00 -1.4835e+00 -3.9816e-01 -3.3360e+00 +4.9284e-01 -3.1521e+00 -2.9886e-01 -2.7263e+00 -1.6180e+00 -5.3150e-01 -2.8049e-01 -3.5547e+00 +1.2104e+00 -3.3649e+00 +9.7259e-01
2438 +1.145759594e+04 +1.145759594e+04 +1.245759594e+04 +1.245759594e+04 -1.4439e-01 +2.0373e+00 +4.4886e+00 +1.3371e+00 +5.3903e-01 +3.6972e+00 -1.9562e-01 +4.5875e-01 -3.0539e+00 +1.8217e+00 -1.8827e+00 -9.2121e-01 -3.2372e+00 -6.4596e-01 -1.0707e+00 +6.9656e-01 -3.6569e+00 -6.2508e-01 -2.2596e+00 +1.4453e+00
2525 +1.006556539e+04 +1.006556539e+04 +1.106556539e+04 +1.106556539e+04 -1.1842e+00 +1.3121e+00 +4.0555e+00 +1.6951e+00 +3.8895e-01 +4.0700e+00 -5.8321e-01 +1.5819e+00 -3.3738e+00 +2.4034e-01 +1.0605e+00 -8.7498e-01 -1.6132e+00 -3.3339e-01 -2.1930e+00 -9.9710e-01 -1.6757e+00 -8.0125e-01 -3.3867e+00 +8.8433e-01
2641 +8.266637780e+03 +8.266637780e+03 +9.266637780e+03 +9.266637780e+03 -1.4614e+00 +1.0369e+00 +4.5680e+00 +7.1370e-01 +6.1579e-01 +4.5223e+00 +7.3465e-02 +4.9974e-01 -3.5465e+00 +7.8836e-01 -2.7774e+00 -2.2802e+00 -9.5326e-01 -1.7532e-01 -2.5561e+00 +1.9790e-01 -3.5174e+00 -1.0449e+00 -2.2399e+00 +1.4406e+00
2704 +7.338801401e+03 +7.338801401e+03 +8.338801401e+03 +8.338801401e+03 -2.6412e+00 -1.5015e+00 +4.5516e+00 +1.3253e+00 +4.8167e-01 +3.4958e+00 -4.1128e-01 +9.8135e-02 -3.0539e+00 -5.2428e-01 -1.8660e+00 -7.5095e-01 -9.5200e-01 -1.3708e+00 -1.9242e+00 -1.9266e-01 -2.4665e+00 -2.6711e-01 -2.6774e+00 +1.5035e+00
2932 +5.826685657e+03 +5.826685657e+03 +6.826685657e+03 +6.826685657e+03 -2.4302e+00 +4.2447e+00 +4.7404e+00 -4.0779e-01 +4.1763e-01 +3.8746e+00 -2.2413e+00 +1.5030e+00 -2.2043e+00 -4.1460e-01 -2.2948e+00 -1.6567e+00 -1.2857e+00 -1.2781e+00 -1.8681e+00 +3.4632e-01 -2.2189e+00 -1.5713e+00 -2.5229e+00 +1.0891e+00
3395 +4.431773222e+03 +4.431773222e+03 +5.431773222e+03 +5.431773222e+03 -4.3937e-01 +2.6055e+00 +4.8139e+00 -1.1195e+00 +4.0766e-01 -8.7652e-01 -1.0316e+00 +3.1734e+00 +1.0775e+00 -2.5040e+00 -2.1655e+00 +3.8008e-01 -5.3685e-01 -5.1891e-01 -1.0813e+00 -5.5048e-01 -2.9948e+00 -3.0339e-01 -2.3079e+00 +1.9711e+00
3775 +2.709011547e+03 +2.709011547e+03 +3.709011547e+03 +3.709011547e+03 +9.0793e-01 +3.2768e+00 +4.3583e+00 +7.3118e-02 +5.8942e-01 -4.1650e-01 +8.2928e-01 +9.2604e-01 -1.3793e+00 -1.9671e-01 -3.5550e-01 -1.2521e+00 -1.4331e+00 -1.4938e-02 -3.0247e+00 -8.6020e-02 -3.0282e+00 -1.9797e+00 -1.6746e+00 +1.9775e+00
3828 +2.481920399e+03 +2.481920399e+03 +3.481920399e+03 +3.481920399e+03 -8.2317e-01 +1.7162e+00 +2.4728e+00 -7.4973e-01 +8.6277e-01 +5.9771e-01 +1.8185e+00 +1.7101e+00 -2.7573e+00 +2.4206e-01 -1.3797e+00 +6.0359e-01 -2.0497e+00 -1.6678e+00 -1.9027e+00 +9.8531e-02 -1.9010e+00 -8.6875e-01 -2.4072e+00 +2.4649e+00
3860 +1.934621143e+03 +1.934621143e+03 +2.934621143e+03 +2.934621143e+03 +1.2136e+00 +3.3571e+00 +3.9443e+00 +5.2045e-01 +1.6604e-01 +1.5098e+00 +1.5855e+00 +2.3309e-02 -1.9920e+00 -8.0481e-01 -8.4900e-01 -9.6289e-01 -2.5735e+00 -1.6068e+00 -1.5700e+00 -1.6527e-01 -2.4491e+00 -2.8391e-01 -2.0446e+00 +6.9879e-01
4061 +1.343855633e+03 +1.343855633e+03 +2.343855633e+03 +2.343855633e+03 -3.4281e-01 +1.4020e+00 +3.2925e+00 -5.2297e-01 +4.9155e-01 +1.6071e+00 -2.4125e+00 +1.6985e+00 -3.2558e-01 -2.4069e-01 -1.4117e+00 -1.3534e+00 -2.6564e+00 -2.2681e+00 -2.0447e+00 -4.0619e-02 -2.6515e+00 -1.3505e+00 -2.3456e+00 +1.5159e+00
4388 +2.179454783e+02 +2.179454783e+02 +1.217945478e+03 +1.217945478e+03 +7.6872e-01 -8.8644e-01 +1.8482e+00 +7.2392e-01 +5.9689e-01 +3.0280e+00 -9.3374e-01 +9.6887e-01 -1.6601e-01 -1.6094e+00 -3.8979e-01 -6.8373e-01 -2.3424e+00 -1.5607e+00 -1.7660e+00 -2.5042e-01 -2.5810e+00 -3.2758e-01 -2.0969e+00 +1.7357e+00
5015 +1.413529133e+02 +1.413529133e+02 +1.141352913e+03 +1.141352913e+03 +1.0883e+00 +4.5004e-01 +2.0404e+00 -2.3746e-01 +1.2175e+00 +2.8486e+00 -1.5062e+00 -4.7201e-01 -4.2252e-01 -1.5589e-01 -6.1489e-01 -1.6380e+00 -9.0289e-01 -1.2391e+00 -2.0248e+00 -4.0443e-01 -2.5757e+00 -1.3872e+00 -8.3210e-01 +1.5933e+00
8722 +4.751983440e+00 +4.751983440e+00 +1.004751983e+03 +1.004751983e+03 -2.5185e+00 +9.5200e-01 -6.5904e-01 +1.3002e+00 -2.3019e+00 +2.3340e+00 +5.4829e-01 +4.1344e-01 -9.8093e-01 -2.6313e+00 -1.2213e+00 -1.3858e+00 -6.6980e-01 -1.3746e+00 -1.7283e+00 -3.3449e-01 -1.1150e+00 -1.7598e+00 -9.3716e-01 +1.0441e+00
9577 +4.482517637e+00 +4.482517637e+00 +1.004482518e+03 +1.004482518e+03 -2.2522e+00 +1.4292e+00 +1.8623e-01 -9.5275e-01 -1.2278e+00 +1.7517e+00 -4.4953e-02 +4.6412e-01 -1.9594e+00 -1.1732e+00 -7.0133e-01 -1.2143e+00 -2.0897e+00 -3.7780e-01 -1.6518e+00 -1.2677e+00 -1.3891e+00 -1.6670e+00 -1.3707e+00 +1.4347e+00
10966 +4.379364158e+00 +4.379364158e+00 +1.004379364e+03 +1.004379364e+03 -8.4358e-01 -4.8914e-01 +7.1042e-01 +1.0137e+00 -1.4117e+00 +1.8842e+00 -1.0280e+00 +1.9381e-01 +2.5540e-01 -1.3190e+00 -1.5338e+00 -2.4283e+00 -6.5519e-01 -6.4040e-01 -2.0817e+00 -9.6268e-01 -2.5461e+00 -2.0325e+00 -1.1855e+00 +1.6334e+00
11671 +4.039578903e+00 +4.039578903e+00 +1.004039579e+03 +1.004039579e+03 +1.7913e+00 +8.7753e-01 -1.2701e+00 +5.6455e-01 -1.4780e+00 +1.9907e-01 +1.1325e-01 -2.7085e-02 -1.5775e+00 -1.5878e+00 -1.7093e+00 -1.7271e+00 -1.3750e+00 -7.4434e-01 -9.4084e-01 -1.2006e+00 -1.9994e+00 -6.2627e-01 -1.1835e+00 +1.9236e+00
44085 +3.658800271e+00 +3.658800271e+00 +1.003658800e+03 +1.003658800e+03 -1.5266e+00 -1.2040e-01 +4.6474e-01 -2.0452e+00 -2.0917e+00 -1.3054e+00 -1.5401e+00 +8.3592e-01 -1.2108e+00 -2.5205e+00 -2.2115e+00 -1.1724e+00 -7.7299e-01 -1.5715e+00 -1.2864e+00 -2.2909e+00 -2.0090e+00 -1.3005e+00 -2.3607e+00 +1.5080e+00
57239 +3.553813134e+00 +3.553813134e+00 +1.003553813e+03 +1.003553813e+03 +6.1036e-01 +2.7792e+00 +1.4311e+00 -3.3626e-02 -4.4631e-01 -3.1328e-01 -9.1456e-01 +1.9423e+00 -1.7112e+00 -2.1956e+00 -3.3204e-01 -2.1403e+00 -2.2125e+00 -6.2294e-01 -1.0285e+00 -1.2734e+00 -2.4585e+00 -1.6838e+00 -2.1442e+00 +1.0202e+00
64074 +3.543451171e+00 +3.543451171e+00 +1.003543451e+03 +1.003543451e+03 -4.0737e-01 +1.7792e-01 -4.3140e-01 -1.0852e+00 -1.4624e+00 -2.3745e-01 +4.1086e-01 +1.4142e+00 -1.1099e+00 -1.7376e+00 -1.5717e-01 -2.0106e+00 -4.4801e-01 -1.1768e+00 -2.4004e+00 -9.1019e-01 -1.5065e+00 -1.0707e+00 -1.4596e+00 +1.7482e+00
67198 +3.349802411e+00 +3.349802411e+00 +1.003349802e+03 +1.003349802e+03 -3.1588e-01 +8.7449e-01 -1.7433e-01 -2.9189e+00 +6.1505e-01 +1.8931e+00 +3.5551e-01 +2.0409e+00 -1.4247e+00 -1.6632e+00 -9.7139e-01 -5.5981e-01 -7.5605e-01 -1.3820e+00 -1.6289e+00 -1.3147e+00 -1.6366e+00 -1.4886e+00 -2.2541e+00 +1.2801e+00
161852 +3.190083046e+00 +3.190083046e+00 +1.003190083e+03 +1.003190083e+03 +7.9795e-01 -6.2729e-01 -2.7587e+00 +5.8487e-01 -4.7682e-01 +4.6180e-01 -7.6890e-01 +1.3399e-01 -2.5508e+00 -2.0141e+00 -1.1029e+00 -1.4973e+00 -5.6013e-01 -5.3593e-01 -2.5451e+00 -1.7603e+00 -8.5947e-01 -1.4665e+00 -1.6230e+00 +1.3343e+00
163641 +3.155048251e+00 +3.155048251e+00 +1.003155048e+03 +1.003155048e+03 -1.6534e+00 -1.0971e+00 -1.9065e+00 -1.0498e+00 -1.5771e+00 -4.3363e-01 -1.2916e+00 +1.1496e+00 -2.3832e+00 -1.0166e+00 -2.4189e+00 -9.3828e-01 -1.8918e+00 -2.1541e+00 -1.7670e-01 -2.4472e+00 -1.7629e+00 -1.3475e+00 -7.4949e-01 +2.1422e+00
685584 +2.836631987e+00 +2.836631987e+00 +1.002836632e+03 +1.002836632e+03 -8.4287e-01 +2.6230e+00 -1.7226e+00 -1.5342e+00 -2.4837e+00 +1.9076e+00 -1.8664e-01 +7.2031e-01 -1.8003e+00 -2.0628e+00 +3.8914e-01 -1.6782e+00 -1.5131e+00 -2.3206e+00 -2.0260e+00 -2.7305e-01 -1.1747e+00 -1.5270e+00 -2.2368e+00 +1.2934e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.852799742e+04 +1.852799742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
